vendor_name,vendor_id,bank_account,gstin,location,category,status
Vendor_1,V001,1234567890,27ABCDE1234F1Z5,Pune,HVAC Equipment,ACTIVE
Vendor_2,V002,9876543210,27XYZAB5678K2Z9,Mumbai,Electrical,ACTIVE
Vendor_3,V003,5555555555,29LMNOP9876L1Z2,Bangalore,Plumbing,ACTIVE
Vendor_4,V004,1122334455,27PQRST9012G3Z1,Delhi,HVAC Equipment,ACTIVE
Vendor_5,V005,6677889900,24UVWXY3456H4Z8,Chennai,Maintenance,ACTIVE
Vendor_6,V006,2233445566,29ABCDE7890I5Z3,Hyderabad,Electrical,ACTIVE
Vendor_7,V007,3344556677,27FGHIJ1234J6Z7,Pune,HVAC Equipment,ACTIVE
Vendor_8,V008,4455667788,07KLMNO5678K7Z2,Noida,Civil Works,ACTIVE
Vendor_9,V009,5566778899,27PQRST9012L8Z6,Mumbai,Plumbing,ACTIVE
Vendor_10,V010,6677990011,29UVWXY3456M9Z1,Bangalore,Maintenance,ACTIVE
Vendor_11,V011,7788001122,27ABCDE7890N0Z5,Delhi,HVAC Equipment,ACTIVE
Vendor_12,V012,8899112233,24FGHIJ1234O1Z9,Chennai,Electrical,ACTIVE
ABC HVAC Solutions,V013,9900223344,27KLMNO5678P2Z4,Pune,HVAC Equipment,ACTIVE
XYZ Electricals,V014,1011223344,29PQRST9012Q3Z8,Mumbai,Electrical,ACTIVE
Global Maintenance Co,V015,1112233445,27UVWXY3456R4Z3,Hyderabad,Maintenance,ACTIVE
Benchmark Corp,V016,1213344556,07ABCDE7890S5Z7,Noida,HVAC Equipment,ACTIVE
FastFix Services,V017,1314455667,27FGHIJ1234T6Z2,Delhi,Maintenance,ACTIVE
CoolAir Systems,V018,1415566778,29KLMNO5678U7Z6,Chennai,HVAC Equipment,ACTIVE
PipeMaster Ltd,V019,1516677889,27PQRST9012V8Z1,Pune,Plumbing,ACTIVE
ElectroPro,V020,1617788990,24UVWXY3456W9Z5,Mumbai,Electrical,ACTIVE
